image_id,path,source,prompt
122166,val2017/000000122166.jpg,cocoval17_car,a person riding on a bicycle on the street in front of some cars
560474,val2017/000000560474.jpg,cocoval17_car,a wax head is looking out of a car window
210273,val2017/000000210273.jpg,cocoval17_car,Buses and cars on interstate going both ways. 
97679,val2017/000000097679.jpg,cocoval17_car,A car with a snowboard on it's ski rack parked in a foggy parking lot next to two cars with empty ski racks. 
263594,val2017/000000263594.jpg,cocoval17_car,A bird walking past a white car in a lot
89556,val2017/000000089556.jpg,cocoval17_car,A couple of silver cars parked around a fire hydrant.
376284,val2017/000000376284.jpg,cocoval17_car,A fire hydrant and some cars on a street.
372260,val2017/000000372260.jpg,cocoval17_car,A car parked by a clock and some flowers.
407083,val2017/000000407083.jpg,cocoval17_car,A small dog is looking out a car window.
54967,val2017/000000054967.jpg,cocoval17_car,A city street with cars and street lights.
368335,val2017/000000368335.jpg,cocoval17_car,a brown horse is walking in between two cars
493286,val2017/000000493286.jpg,cocoval17_car,an old car in front of an old air plane
177934,val2017/000000177934.jpg,cocoval17_car,A group of women operating a car wash.
565012,val2017/000000565012.jpg,cocoval17_car,a digitally manipulated image of cars on a highway at night in the city
57149,val2017/000000057149.jpg,cocoval17_car,A school bus and a silver car waiting at a railroad crossing for a train to go past.
350023,val2017/000000350023.jpg,cocoval17_car,A city street show cars going up and down the hill.
147338,val2017/000000147338.jpg,cocoval17_car,A yellow fire hydrant with a cartoon face drawn on it.
567197,val2017/000000567197.jpg,cocoval17_car,an old black and white photo of cars parked near a building 
542625,val2017/000000542625.jpg,cocoval17_car,A bird sits on a parking meter with several parked cars in the street.
343976,val2017/000000343976.jpg,cocoval17_car,A city street lit up in a night scene with cars in the background. 
